tradingsymbol,exchange,instrument_token,isin,product,price,quantity,used_quantity,t1_quantity,realised_quantity,authorised_quantity,authorised_date,authorisation,opening_quantity,short_quantity,collateral_quantity,collateral_type,discrepancy,average_price,last_price,close_price,pnl,day_change,day_change_percentage,source,key,ltp,open,high,low,qty,Invested,value,value_H,PnL,PnL_H,PnL%,PnL%_H,Yvalue,dPnL,dPnL%
DANGEE,NSE,284161.0,INE688Y01022,CNC,0.0,390.0,0.0,0.0,390.0,0.0,2023-10-02 00:00:00,{},390.0,0.0,0.0,,False,13.1,9.75,9.95,-1306.4999999999998,-0.1999999999999993,-2.0100502512562746,holdings,NSE:DANGEE,9.75,10.0,10.15,9.7,390.0,5109.0,3802.5,3958.5,-1306.5,-1150.5,-25.57,-22.52,3880.5,-78.0,-33.67
DAVANGERE,BSE,139076356.0,INE179G01011,CNC,0.0,46.0,0.0,0.0,46.0,0.0,2023-10-02 00:00:00,{},46.0,0.0,0.0,,False,110.89,93.25,95.1,-811.44,-1.8499999999999943,-1.9453207150367975,holdings,BSE:DAVANGERE,93.25,94.0,98.0,93.1,46.0,5100.94,4289.5,4508.0,-811.44,-592.9399999999996,-15.91,-11.62,4374.6,-85.1,-18.55
DEEPINDS,NSE,842753.0,INE0FHS01024,CNC,0.0,19.0,0.0,0.0,19.0,0.0,2023-10-02 00:00:00,{},19.0,0.0,0.0,,False,263.15,267.35,264.05,79.80000000000086,3.3000000000000114,1.2497633024048518,holdings,NSE:DEEPINDS,267.35,264.05,270.4,262.05,19.0,4999.85,5079.65,5137.599999999999,79.8,137.75,1.6,2.76,5016.95,62.7,1.59
DHANBANK,NSE,2907905.0,INE680A01011,CNC,0.0,313.0,0.0,0.0,313.0,0.0,2023-10-02 00:00:00,{},313.0,0.0,0.0,,False,31.9,29.15,28.95,-860.75,0.1999999999999993,0.6908462867012065,holdings,NSE:DHANBANK,29.15,29.1,29.5,29.0,313.0,9984.7,9123.95,9233.5,-860.75,-751.1999999999989,-8.62,-7.52,9061.35,62.6,-9.5
DMCC,BSE,129639684.0,INE505A01010,CNC,0.0,14.0,0.0,0.0,14.0,0.0,2023-10-02 00:00:00,{},14.0,0.0,0.0,,False,355.6,311.6,314.7,-616.0,-3.099999999999966,-0.9850651414045014,holdings,BSE:DMCC,311.6,314.6,316.65,308.95,14.0,4978.4,4362.4,4433.099999999999,-616.0,-545.3000000000011,-12.37,-10.95,4405.8,-43.4,-13.98
DHARMAJ,BSE,139183876.0,INE00OQ01016,CNC,0.0,22.0,0.0,0.0,22.0,0.0,2023-10-02 00:00:00,{},22.0,0.0,0.0,,False,223.2,210.0,209.55,-290.39999999999975,0.44999999999998863,0.21474588403721717,holdings,BSE:DHARMAJ,210.0,210.0,212.25,207.9,22.0,4910.4,4620.0,4669.5,-290.4,-240.89999999999964,-5.91,-4.91,4610.1,9.9,-6.3
DIVISLAB,NSE,2800641.0,INE361B01024,CNC,0.0,2.0,0.0,0.0,2.0,0.0,2023-10-02 00:00:00,{},2.0,0.0,0.0,,False,3777.3,3765.15,3665.0,-24.300000000000182,100.15000000000009,2.7326057298772195,holdings,NSE:DIVISLAB,3765.15,3687.0,3784.0,3687.0,2.0,7554.6,7530.3,7568.0,-24.3,13.399999999999636,-0.32,0.18,7330.0,200.3,-0.33
DODLA,BSE,139086340.0,INE021O01019,CNC,0.0,6.0,0.0,0.0,6.0,0.0,2023-10-02 00:00:00,{},6.0,0.0,0.0,,False,746.5,688.35,691.1,-348.89999999999986,-2.75,-0.39791636521487483,holdings,BSE:DODLA,688.35,690.0,697.95,679.7,6.0,4479.0,4130.1,4187.700000000001,-348.9,-291.2999999999993,-7.79,-6.5,4146.6,-16.5,-8.41
DPWIRES,BSE,139254276.0,INE864X01013,CNC,0.0,14.0,0.0,0.0,14.0,0.0,2023-10-02 00:00:00,{},14.0,0.0,0.0,,False,705.7,715.95,700.2,143.5,15.75,2.2493573264781492,holdings,BSE:DPWIRES,715.95,714.2,719.1,697.15,14.0,9879.8,10023.3,10067.4,143.5,187.59999999999854,1.45,1.9,9802.8,220.5,1.46
DREAMFOLKS,BSE,139159300.0,INE0JS101016,CNC,0.0,9.0,0.0,0.0,9.0,0.0,2023-10-02 00:00:00,{},9.0,0.0,0.0,,False,515.8,504.9,495.05,-98.0999999999998,9.849999999999966,1.9896980103019828,holdings,BSE:DREAMFOLKS,504.9,499.15,506.8,487.75,9.0,4642.2,4544.1,4561.2,-98.1,-81.0,-2.11,-1.74,4455.45,88.65,-2.2
DREDGECORP,BSE,134046212.0,INE506A01018,CNC,0.0,9.0,0.0,0.0,9.0,0.0,2023-10-02 00:00:00,{},9.0,0.0,0.0,,False,538.65,476.75,468.5,-557.0999999999998,8.25,1.7609391675560297,holdings,BSE:DREDGECORP,476.75,472.75,482.1,464.7,9.0,4847.85,4290.75,4338.900000000001,-557.1,-508.9499999999989,-11.49,-10.5,4216.5,74.25,-13.21
DVL,BSE,134076420.0,INE477B01010,CNC,0.0,36.0,0.0,0.0,36.0,0.0,2023-10-02 00:00:00,{},36.0,0.0,0.0,,False,273.85,269.05,268.8,-172.8000000000004,0.25,0.09300595238095237,holdings,BSE:DVL,269.05,269.2,270.0,266.9,36.0,9858.6,9685.8,9720.0,-172.8,-138.60000000000036,-1.75,-1.41,9676.8,9.0,-1.79
EASEMYTRIP,NSE,714753.0,INE07O001026,CNC,0.0,1174.0,0.0,0.0,1174.0,0.0,2023-10-02 00:00:00,{},1174.0,0.0,0.0,,False,47.82,40.55,42.1,-8540.099814000007,-1.5500000000000043,-3.681710213776732,holdings,NSE:EASEMYTRIP,40.55,42.05,42.95,40.15,1174.0,56145.8,47605.7,50423.3,-8540.1,-5722.4998140000025,-15.21,-10.19,49425.4,-1819.7,-17.28
EICHERMOT,BSE,129331204.0,INE066A01021,CNC,0.0,7.0,0.0,0.0,7.0,0.0,2023-10-02 00:00:00,{},7.0,0.0,0.0,,False,3615.0,3456.05,3447.0,-1112.6499999999987,9.050000000000182,0.26254714244270905,holdings,BSE:EICHERMOT,3456.05,3477.55,3480.0,3425.6,7.0,25305.0,24192.35,24360.0,-1112.65,-945.0,-4.4,-3.73,24129.0,63.35,-4.61
EIFFL,NSE,1546241.0,INE546V01010,CNC,0.0,34.0,0.0,0.0,34.0,0.0,2023-10-02 00:00:00,{},34.0,0.0,0.0,,False,149.35,142.5,143.8,-232.8999999999998,-1.3000000000000114,-0.9040333796940273,holdings,NSE:EIFFL,142.5,142.75,142.8,141.6,34.0,5077.9,4845.0,4855.200000000001,-232.9,-222.6999999999989,-4.59,-4.39,4889.2,-44.2,-4.76
EIHAHOTELS,NSE,3942145.0,INE276C01014,CNC,0.0,10.0,0.0,0.0,10.0,0.0,2023-10-02 00:00:00,{},10.0,0.0,0.0,,False,494.7,463.7,470.65,-310.0,-6.949999999999989,-1.4766811855943884,holdings,NSE:EIHAHOTELS,463.7,472.8,473.0,460.2,10.0,4947.0,4637.0,4730.0,-310.0,-217.0,-6.27,-4.39,4706.5,-69.5,-6.59
EIHOTEL,BSE,128215044.0,INE230A01023,CNC,0.0,43.0,0.0,0.0,43.0,0.0,2023-10-02 00:00:00,{},43.0,0.0,0.0,,False,232.35,223.2,223.85,-393.4500000000003,-0.6500000000000057,-0.29037301764574747,holdings,BSE:EIHOTEL,223.2,224.15,224.7,220.95,43.0,9991.05,9597.6,9662.1,-393.45,-328.9499999999989,-3.94,-3.29,9625.55,-27.95,-4.09
EKANSH,BSE,136029188.0,INE005E01013,CNC,0.0,138.0,0.0,0.0,138.0,0.0,2023-10-02 00:00:00,{},138.0,0.0,0.0,,False,74.86,58.99,57.56,-2189.5400160000004,1.4299999999999997,2.484364141765114,holdings,BSE:EKANSH,58.99,58.99,59.95,54.56,138.0,10330.16,8140.62,8273.1,-2189.54,-2057.0600160000013,-21.2,-19.91,7943.28,197.34,-27.56
EMKAY,BSE,136380676.0,INE296H01011,CNC,0.0,54.0,0.0,0.0,54.0,0.0,2023-10-02 00:00:00,{},54.0,0.0,0.0,,False,91.45,86.45,88.3,-270.0,-1.8499999999999943,-2.0951302378255883,holdings,BSE:EMKAY,86.45,87.6,87.6,86.45,54.0,4938.3,4668.3,4730.4,-270.0,-207.90000000000055,-5.47,-4.21,4768.2,-99.9,-5.66
EMMBI,BSE,136489220.0,INE753K01015,CNC,0.0,82.0,0.0,0.0,82.0,0.0,2023-10-02 00:00:00,{},82.0,0.0,0.0,,False,120.92,114.83,115.41,-499.08996599999955,-0.5799999999999983,-0.502556104323714,holdings,BSE:EMMBI,114.83,116.3,119.02,114.1,82.0,9915.15,9416.06,9759.64,-499.09,-155.50996599999962,-5.03,-1.57,9463.62,-47.56,-5.27
EMUDHRA,BSE,139144452.0,INE01QM01018,CNC,0.0,10.0,0.0,0.0,10.0,0.0,2023-10-02 00:00:00,{},10.0,0.0,0.0,,False,496.4,467.65,482.4,-287.5,-14.75,-3.057628524046435,holdings,BSE:EMUDHRA,467.65,471.15,487.0,465.2,10.0,4964.0,4676.5,4870.0,-287.5,-94.0,-5.79,-1.89,4824.0,-147.5,-5.96
ENIL,BSE,136371204.0,INE265F01028,CNC,0.0,43.0,0.0,0.0,43.0,0.0,2023-10-02 00:00:00,{},43.0,0.0,0.0,,False,160.0,159.5,156.95,-21.5,2.5500000000000114,1.6247212488053595,holdings,BSE:ENIL,159.5,158.55,160.0,156.65,43.0,6880.0,6858.5,6880.0,-21.5,0.0,-0.31,0.0,6748.85,109.65,-0.32
ERIS,BSE,138392580.0,INE406M01024,CNC,0.0,0.0,0.0,11.0,0.0,0.0,2023-10-02 00:00:00,{},11.0,0.0,0.0,,False,869.55,877.05,850.0,82.5,27.049999999999955,3.1823529411764655,holdings,BSE:ERIS,877.05,858.8,925.0,857.45,11.0,9565.05,9647.55,10175.0,82.5,609.9500000000007,0.86,6.38,9350.0,297.55,0.88
ESTER,NSE,6211841.0,INE778B01029,CNC,0.0,147.0,0.0,0.0,147.0,0.0,2023-10-02 00:00:00,{},147.0,0.0,0.0,,False,105.09,94.1,93.35,-1614.8999580000002,0.75,0.8034279592929834,holdings,NSE:ESTER,94.1,93.25,95.0,93.2,147.0,15447.6,13832.7,13965.0,-1614.9,-1482.5999579999989,-10.45,-9.6,13722.45,110.25,-11.77
FAZE3Q,NSE,3072001.0,INE963C01033,CNC,0.0,25.0,0.0,0.0,25.0,0.0,2023-10-02 00:00:00,{},25.0,0.0,0.0,,False,398.8,366.55,368.55,-806.25,-2.0,-0.542667209333876,holdings,NSE:FAZE3Q,366.55,368.0,373.3,363.8,25.0,9970.0,9163.75,9332.5,-806.25,-637.5,-8.09,-6.39,9213.75,-50.0,-8.75
FRSHTRP,BSE,135699716.0,INE795D01011,CNC,0.0,1.0,0.0,0.0,1.0,0.0,2023-10-02 00:00:00,{},1.0,0.0,0.0,,False,188.0,180.05,179.15,-7.949999999999989,0.9000000000000057,0.5023723137036035,holdings,BSE:FRSHTRP,180.05,181.0,184.9,176.0,1.0,188.0,180.05,184.9,-7.95,-3.0999999999999943,-4.23,-1.65,179.15,0.9,-4.44
FSL,BSE,136399108.0,INE684F01012,CNC,0.0,29.0,0.0,0.0,29.0,0.0,2023-10-02 00:00:00,{},29.0,0.0,0.0,,False,168.95,167.55,164.05,-40.59999999999934,3.5,2.1334958854007926,holdings,BSE:FSL,167.55,162.95,168.25,162.95,29.0,4899.55,4858.95,4879.25,-40.6,-20.299999999999272,-0.83,-0.41,4757.45,101.5,-0.85
GANDHITUBE,NSE,3613697.0,INE524B01027,CNC,0.0,14.0,0.0,0.0,14.0,0.0,2023-10-02 00:00:00,{},14.0,0.0,0.0,,False,737.15,685.45,673.3,-723.799999999999,12.150000000000091,1.8045447794445404,holdings,NSE:GANDHITUBE,685.45,662.2,691.65,662.1,14.0,10320.1,9596.3,9683.1,-723.8,-637.0,-7.01,-6.17,9426.2,170.1,-7.68
GARFIBRES,BSE,130446596.0,INE276A01018,CNC,0.0,2.0,0.0,0.0,2.0,0.0,2023-10-02 00:00:00,{},2.0,0.0,0.0,,False,3263.5,3170.95,3185.8,-185.10000000000036,-14.850000000000364,-0.466130956117784,holdings,BSE:GARFIBRES,3170.95,3164.75,3204.95,3164.75,2.0,6527.0,6341.9,6409.9,-185.1,-117.10000000000036,-2.84,-1.79,6371.6,-29.7,-2.91
GENUSPAPER,BSE,137974020.0,INE949P01018,CNC,0.0,449.0,0.0,0.0,449.0,0.0,2023-10-02 00:00:00,{},449.0,0.0,0.0,,False,22.15,22.4,22.01,112.25,0.389999999999997,1.7719218537028487,holdings,BSE:GENUSPAPER,22.4,22.49,22.99,22.11,449.0,9945.35,10057.6,10322.509999999998,112.25,377.15999999999985,1.13,3.79,9882.49,175.11,1.14
GESHIP,NSE,3526657.0,INE017A01032,CNC,0.0,11.0,0.0,0.0,11.0,0.0,2023-10-02 00:00:00,{},11.0,0.0,0.0,,False,873.7,847.2,842.7,-291.5,4.5,0.5339978640085439,holdings,NSE:GESHIP,847.2,848.8,862.0,835.05,11.0,9610.7,9319.2,9482.0,-291.5,-128.70000000000073,-3.03,-1.34,9269.7,49.5,-3.14
GLOBAL,NSE,362241.0,INE291W01029,CNC,0.0,51.0,0.0,0.0,51.0,0.0,2023-10-02 00:00:00,{},51.0,0.0,0.0,,False,193.45,189.0,182.75,-226.94999999999942,6.25,3.4199726402188784,holdings,NSE:GLOBAL,189.0,185.0,191.0,185.0,51.0,9865.95,9639.0,9741.0,-226.95,-124.94999999999891,-2.3,-1.27,9320.25,318.75,-2.44
GLS,NSE,1347841.0,INE03Q201024,CNC,0.0,15.0,0.0,0.0,15.0,0.0,2023-10-02 00:00:00,{},15.0,0.0,0.0,,False,644.5,617.95,621.85,-398.2499999999993,-3.8999999999999773,-0.6271608908900823,holdings,NSE:GLS,617.95,623.9,626.9,617.05,15.0,9667.5,9269.25,9403.5,-398.25,-264.0,-4.12,-2.73,9327.75,-58.5,-4.27
GNA,BSE,138271748.0,INE934S01014,CNC,0.0,9.0,0.0,0.0,9.0,0.0,2023-10-02 00:00:00,{},9.0,0.0,0.0,,False,541.85,472.0,469.5,-628.6500000000002,2.5,0.5324813631522897,holdings,BSE:GNA,472.0,474.15,474.15,470.95,9.0,4876.65,4248.0,4267.349999999999,-628.65,-609.3000000000011,-12.89,-12.49,4225.5,22.5,-14.88
GOACARBON,BSE,130449156.0,INE426D01013,CNC,0.0,9.0,0.0,0.0,9.0,0.0,2023-10-02 00:00:00,{},9.0,0.0,0.0,,False,567.9,517.0,515.7,-458.0999999999998,1.2999999999999545,0.2520845452782537,holdings,BSE:GOACARBON,517.0,519.9,525.6,517.0,9.0,5111.1,4653.0,4730.400000000001,-458.1,-380.6999999999989,-8.96,-7.45,4641.3,11.7,-9.87
GOKEX,NSE,3015169.0,INE887G01027,CNC,0.0,12.0,0.0,0.0,12.0,0.0,2023-10-02 00:00:00,{},12.0,0.0,0.0,,False,793.1,759.55,772.2,-402.6000000000008,-12.650000000000091,-1.6381766381766498,holdings,NSE:GOKEX,759.55,777.9,786.0,747.95,12.0,9517.2,9114.6,9432.0,-402.6,-85.20000000000073,-4.23,-0.9,9266.4,-151.8,-4.34
GOLDIAM,BSE,134842628.0,INE025B01025,CNC,0.0,38.0,0.0,0.0,38.0,0.0,2023-10-02 00:00:00,{},38.0,0.0,0.0,,False,134.1,126.65,126.45,-283.09999999999957,0.20000000000000284,0.1581652827204451,holdings,BSE:GOLDIAM,126.65,127.15,127.6,126.1,38.0,5095.8,4812.7,4848.8,-283.1,-247.0,-5.56,-4.85,4805.1,7.6,-5.89
GRAPHITE,BSE,130428932.0,INE371A01025,CNC,0.0,9.0,0.0,0.0,9.0,0.0,2023-10-02 00:00:00,{},9.0,0.0,0.0,,False,525.6,492.55,481.45,-297.4500000000001,11.100000000000023,2.3055353619275154,holdings,BSE:GRAPHITE,492.55,481.5,501.15,481.5,9.0,4730.4,4432.95,4510.349999999999,-297.45,-220.0500000000011,-6.29,-4.65,4333.05,99.9,-6.86
GRINFRA,NSE,1293825.0,INE201P01022,CNC,0.0,7.0,0.0,0.0,7.0,0.0,2023-10-02 00:00:00,{},7.0,0.0,0.0,,False,1333.45,1207.4,1203.25,-882.3499999999997,4.150000000000091,0.34489923124870897,holdings,NSE:GRINFRA,1207.4,1210.0,1214.85,1195.4,7.0,9334.15,8451.8,8503.949999999999,-882.35,-830.2000000000007,-9.45,-8.89,8422.75,29.05,-10.48
GTPL,BSE,138394116.0,INE869I01013,CNC,0.0,55.0,0.0,0.0,55.0,0.0,2023-10-02 00:00:00,{},55.0,0.0,0.0,,False,181.16,171.0,170.3,-558.7500049999994,0.6999999999999886,0.41103934233704553,holdings,BSE:GTPL,171.0,171.95,172.55,169.6,55.0,9963.75,9405.0,9490.25,-558.75,-473.5000049999999,-5.61,-4.75,9366.5,38.5,-5.97
GUFICBIO,BSE,130324228.0,INE742B01025,CNC,0.0,15.0,0.0,0.0,15.0,0.0,2023-10-02 00:00:00,{},15.0,0.0,0.0,,False,320.45,286.1,287.4,-515.2499999999995,-1.2999999999999545,-0.4523312456506453,holdings,BSE:GUFICBIO,286.1,287.45,295.0,285.65,15.0,4806.75,4291.5,4425.0,-515.25,-381.75,-10.72,-7.94,4311.0,-19.5,-11.95
GULPOLY,NSE,1609217.0,INE255D01024,CNC,0.0,44.0,0.0,0.0,44.0,0.0,2023-10-02 00:00:00,{},44.0,0.0,0.0,,False,226.19,225.4,227.4,-34.60001599999964,-2.0,-0.8795074758135444,holdings,NSE:GULPOLY,225.4,227.4,229.0,224.05,44.0,9952.2,9917.6,10076.0,-34.6,123.79998399999931,-0.35,1.24,10005.6,-88.0,-0.35
HARRMALAYA,BSE,128119556.0,INE544A01019,CNC,0.0,61.0,0.0,0.0,61.0,0.0,2023-10-02 00:00:00,{},61.0,0.0,0.0,,False,161.95,161.9,158.4,-3.0499999999989598,3.5,2.20959595959596,holdings,BSE:HARRMALAYA,161.9,160.9,164.45,159.4,61.0,9878.95,9875.9,10031.449999999999,-3.05,152.5,-0.03,1.54,9662.4,213.5,-0.03
HARSHA,NSE,2857473.0,INE0JUS01029,CNC,0.0,15.0,0.0,0.0,15.0,0.0,2023-10-02 00:00:00,{},15.0,0.0,0.0,,False,457.9,419.4,422.45,-577.5,-3.0500000000000114,-0.7219789324180403,holdings,NSE:HARSHA,419.4,422.55,424.75,417.0,15.0,6868.5,6291.0,6371.25,-577.5,-497.25,-8.41,-7.24,6336.75,-45.75,-9.11
HATHWAY,NSE,4647425.0,INE982F01036,CNC,0.0,483.0,0.0,0.0,483.0,0.0,2023-10-02 00:00:00,{},483.0,0.0,0.0,,False,20.75,20.0,19.9,-362.25,0.10000000000000142,0.5025125628140775,holdings,NSE:HATHWAY,20.0,20.05,20.3,19.85,483.0,10022.25,9660.0,9804.9,-362.25,-217.35000000000036,-3.61,-2.17,9611.7,48.3,-3.77
HEG,NSE,342017.0,INE545A01016,CNC,0.0,2.0,0.0,0.0,2.0,0.0,2023-10-02 00:00:00,{},2.0,0.0,0.0,,False,1843.55,1723.3,1707.8,-240.5,15.5,0.9076004215950346,holdings,NSE:HEG,1723.3,1715.65,1750.0,1710.15,2.0,3687.1,3446.6,3500.0,-240.5,-187.0999999999999,-6.52,-5.07,3415.6,31.0,-7.04
HGS,BSE,136411908.0,INE170I01016,CNC,0.0,4.0,0.0,0.0,4.0,0.0,2023-10-02 00:00:00,{},4.0,0.0,0.0,,False,1039.45,1006.6,994.7,-131.4000000000001,11.899999999999977,1.196340605207598,holdings,BSE:HGS,1006.6,1017.85,1017.85,999.35,4.0,4157.8,4026.4,4071.4,-131.4,-86.40000000000009,-3.16,-2.08,3978.8,47.6,-3.3
HINDCOPPER,BSE,131481348.0,INE531E01026,CNC,0.0,63.0,0.0,0.0,63.0,0.0,2023-10-02 00:00:00,{},63.0,0.0,0.0,,False,158.7,162.55,156.2,242.55000000000143,6.350000000000023,4.065300896286827,holdings,BSE:HINDCOPPER,162.55,157.45,163.2,157.45,63.0,9998.1,10240.65,10281.599999999999,242.55,283.5,2.43,2.84,9840.6,400.05,2.46
HISARMET,BSE,151044612.0,INE598C01011,CNC,0.0,91.0,0.0,0.0,91.0,0.0,2023-10-02 00:00:00,{},91.0,0.0,0.0,,False,208.01,163.2,160.0,-4077.75004,3.1999999999999886,1.9999999999999927,holdings,BSE:HISARMET,163.2,162.0,163.2,160.5,91.0,18928.95,14851.2,14851.199999999999,-4077.75,-4077.750040000001,-21.54,-21.54,14560.0,291.2,-28.01
HOMEFIRST,NSE,526337.0,INE481N01025,CNC,0.0,6.0,0.0,0.0,6.0,0.0,2023-10-02 00:00:00,{},6.0,0.0,0.0,,False,876.0,811.25,820.55,-388.5,-9.299999999999955,-1.13338614344037,holdings,NSE:HOMEFIRST,811.25,822.0,827.1,806.35,6.0,5256.0,4867.5,4962.6,-388.5,-293.39999999999964,-7.39,-5.58,4923.3,-55.8,-7.89
HONDAPOWER,BSE,133648388.0,INE634A01018,CNC,0.0,1.0,0.0,0.0,1.0,0.0,2023-10-02 00:00:00,{},1.0,0.0,0.0,,False,2813.5,2810.0,2830.8,-3.5,-20.800000000000182,-0.7347746220149844,holdings,BSE:HONDAPOWER,2810.0,2854.85,2899.9,2799.55,1.0,2813.5,2810.0,2899.9,-3.5,86.40000000000009,-0.12,3.07,2830.8,-20.8,-0.12
HUHTAMAKI,NSE,655873.0,INE275B01026,CNC,0.0,18.0,0.0,0.0,18.0,0.0,2023-10-02 00:00:00,{},18.0,0.0,0.0,,False,270.32,257.25,252.5,-235.3499999999998,4.75,1.881188118811881,holdings,NSE:HUHTAMAKI,257.25,253.0,259.5,251.0,18.0,4865.85,4630.5,4671.0,-235.35,-194.84999999999945,-4.84,-4.0,4545.0,85.5,-5.18
ICEMAKE,NSE,125185.0,INE520Y01019,CNC,0.0,17.0,0.0,0.0,17.0,0.0,2023-10-02 00:00:00,{},17.0,0.0,0.0,,False,563.96,553.85,554.05,-171.95000199999924,-0.1999999999999318,-0.03609782510602505,holdings,NSE:ICEMAKE,553.85,560.0,567.7,550.05,17.0,9587.4,9415.45,9650.900000000001,-171.95,63.49999800000114,-1.79,0.66,9418.85,-3.4,-1.83
ICICIBANK,BSE,136236548.0,INE090A01021,CNC,0.0,10.0,0.0,0.0,10.0,0.0,2023-10-02 00:00:00,{},10.0,0.0,0.0,,False,992.65,952.05,942.7,-406.0000000000002,9.349999999999909,0.9918319719953229,holdings,BSE:ICICIBANK,952.05,945.75,956.0,944.0,10.0,9926.5,9520.5,9560.0,-406.0,-366.5,-4.09,-3.69,9427.0,93.5,-4.31
IDEAFORGE,NSE,4387841.0,INE349Y01013,CNC,0.0,5.0,0.0,0.0,5.0,0.0,2023-10-02 00:00:00,{},5.0,0.0,0.0,,False,1027.9,898.5,898.35,-647.0000000000005,0.14999999999997726,0.01669727834362746,holdings,NSE:IDEAFORGE,898.5,904.0,916.1,895.35,5.0,5139.5,4492.5,4580.5,-647.0,-559.0,-12.59,-10.88,4491.75,0.75,-14.4
IEX,NSE,56321.0,INE022Q01020,CNC,0.0,50.0,0.0,0.0,50.0,0.0,2023-10-02 00:00:00,{},50.0,0.0,0.0,,False,137.75,132.2,131.05,-277.50000000000057,1.1499999999999773,0.8775276611979986,holdings,NSE:IEX,132.2,131.75,133.0,131.3,50.0,6887.5,6610.0,6650.0,-277.5,-237.5,-4.03,-3.45,6552.5,57.5,-4.24
IGL,NSE,2883073.0,INE203G01027,CNC,0.0,22.0,0.0,0.0,22.0,0.0,2023-10-02 00:00:00,{},22.0,0.0,0.0,,False,473.2,454.85,449.8,-403.69999999999925,5.050000000000011,1.1227212094264143,holdings,NSE:IGL,454.85,450.0,457.05,448.75,22.0,10410.4,10006.7,10055.1,-403.7,-355.2999999999993,-3.88,-3.41,9895.6,111.1,-4.08
IMAGICAA,BSE,137998340.0,INE172N01012,CNC,0.0,157.0,0.0,0.0,157.0,0.0,2023-10-02 00:00:00,{},157.0,0.0,0.0,,False,63.45,52.7,52.77,-1687.75,-0.07000000000000028,-0.13265112753458458,holdings,BSE:IMAGICAA,52.7,52.77,53.7,52.25,157.0,9961.65,8273.9,8430.9,-1687.75,-1530.75,-16.94,-15.37,8284.89,-10.99,-20.37
INANI,BSE,135969028.0,INE635D01027,CNC,0.0,790.0,0.0,0.0,790.0,0.0,2023-10-02 00:00:00,{},790.0,0.0,0.0,,False,21.25,20.43,19.46,-645.0097200000004,0.9699999999999989,4.984583761562172,holdings,BSE:INANI,20.43,19.46,20.8,19.46,790.0,16784.71,16139.7,16432.0,-645.01,-352.7097199999989,-3.84,-2.1,15373.4,766.3,-4.2
INDIAGLYCO,BSE,128051460.0,INE560A01015,CNC,0.0,6.0,0.0,0.0,6.0,0.0,2023-10-02 00:00:00,{},6.0,0.0,0.0,,False,782.2,699.0,696.85,-499.2000000000003,2.1499999999999773,0.3085312477577638,holdings,BSE:INDIAGLYCO,699.0,701.0,708.0,695.75,6.0,4693.2,4194.0,4248.0,-499.2,-445.2000000000007,-10.64,-9.49,4181.1,12.9,-11.94
INDIGOPNTS,NSE,524289.0,INE09VQ01012,CNC,0.0,12.0,0.0,0.0,12.0,0.0,2023-10-02 00:00:00,{},12.0,0.0,0.0,,False,1641.05,1485.8,1485.3,-1863.0,0.5,0.03366323301689894,holdings,NSE:INDIGOPNTS,1485.8,1500.0,1506.65,1481.0,12.0,19692.6,17829.6,18079.800000000003,-1863.0,-1612.7999999999956,-9.46,-8.19,17823.6,6.0,-10.45
INDOCO,NSE,2989313.0,INE873D01024,CNC,0.0,14.0,0.0,0.0,14.0,0.0,2023-10-02 00:00:00,{},14.0,0.0,0.0,,False,362.0,339.0,335.55,-322.0,3.4499999999999886,1.02816271792579,holdings,NSE:INDOCO,339.0,337.25,342.5,334.25,14.0,5068.0,4746.0,4795.0,-322.0,-273.0,-6.35,-5.39,4697.7,48.3,-6.85
INFIBEAM,NSE,4159745.0,INE483S01020,CNC,0.0,278.0,0.0,0.0,278.0,0.0,2023-10-02 00:00:00,{},278.0,0.0,0.0,,False,18.3,17.75,17.6,-152.9000000000002,0.14999999999999858,0.8522727272727191,holdings,NSE:INFIBEAM,17.75,17.75,17.9,17.6,278.0,5087.4,4934.5,4976.2,-152.9,-111.20000000000073,-3.01,-2.19,4892.8,41.7,-3.13
INTENTECH,BSE,136275460.0,INE781A01025,CNC,0.0,114.0,0.0,0.0,114.0,0.0,2023-10-02 00:00:00,{},114.0,0.0,0.0,,False,88.5,81.24,80.42,-827.6400000000006,0.8199999999999932,1.0196468540164052,holdings,BSE:INTENTECH,81.24,81.55,81.55,80.53,114.0,10089.0,9261.36,9296.699999999999,-827.64,-792.3000000000011,-8.2,-7.85,9167.88,93.48,-9.03
INTLCONV,NSE,1435137.0,INE575C01027,CNC,0.0,121.0,0.0,0.0,121.0,0.0,2023-10-02 00:00:00,{},121.0,0.0,0.0,,False,82.35,81.55,80.1,-96.79999999999966,1.4500000000000028,1.8102372034956342,holdings,NSE:INTLCONV,81.55,80.1,82.15,79.5,121.0,9964.35,9867.55,9940.150000000001,-96.8,-24.19999999999709,-0.97,-0.24,9692.1,175.45,-1.0
IOC,NSE,415745.0,INE242A01010,CNC,0.0,105.0,0.0,0.0,105.0,0.0,2023-10-02 00:00:00,{},105.0,0.0,0.0,,False,98.25,90.95,89.8,-766.4999999999997,1.1500000000000057,1.2806236080178237,holdings,NSE:IOC,90.95,90.6,91.15,90.25,105.0,10316.25,9549.75,9570.75,-766.5,-745.5,-7.43,-7.23,9429.0,120.75,-8.13
